Title,Meta,URL,Relevant
Trump's trade war is giving renewed importance to advertising Upfronts,,https://www.cnbc.com/2025/05/11/advertising-upfronts-trump-trade-renewed-importance.html,No
"What Scares TV Advertisers Most? Fears of Trump Tariffs, Sports Spending Will Drive 2025 Upfront",,https://variety.com/2025/tv/news/tv-upfront-2025-advertisers-fear-trump-tariffs-sports-1236393246/,No
"Sex, scent and celebrity: what perfume ads of the 2000s reveal about consumer culture today",,https://www.wallpaper.com/fashion-beauty/ads-of-the-2000s-taschen-book-perfume,No
Roblox courts advertisers with fresh data on its ad effectiveness,,https://digiday.com/media/roblox-courts-advertisers-with-fresh-data-on-its-ad-effectiveness/,Yes
"Children eat more after seeing just five minutes of junk food ads, study finds",,https://www.theguardian.com/society/2025/may/11/children-eat-more-after-seeing-just-five-minutes-of-junk-food-ads-study-finds,No
Advertising Manager Nevaeh Lucero graduates after years of dedication,,https://www.dailylobo.com/article/2025/05/advertising-manager-nevaeh-lucero-graduates-after-years-of-dedication,No
Lombardo named Tribune Advertising and Marketing Director,,https://www.citizentribune.com/news/local/lombardo-named-tribune-advertising-and-marketing-director/article_3516b362-496b-4770-b937-a8d5b6d64b98.html,No
This week in politics: Medical cannabis advocates still pushing for ability to advertise,,https://www.clarionledger.com/story/news/politics/2025/05/11/mississippi-politics-medical-marijuana-lawsuit-wont-be-heard-by-supreme-court/83518745007/,No
Online Advertising Market Projected to Surge to US$ 470.1 Bn by 2032 - Persistence Market Research,,https://www.openpr.com/news/4009549/online-advertising-market-projected-to-surge-to-us-470-1-bn,Yes
‘Opt in’ letterbox advertising trial scrapped – how to stop getting leaflets in France,,https://www.connexionfrance.com/news/opt-in-letterbox-advertising-trial-scrapped-how-to-stop-getting-leaflets-in-france/723406,No
Only 5 minutes of unhealthy food advertising increases children's calorie consumption - study,,https://unn.ua/en/news/only-5-minutes-of-unhealthy-food-advertising-increases-childrens-calorie-consumption-study,No
"What Scares TV Advertisers Most? Fears of Trump Tariffs, Sports Spending Will Drive 2025 Upfront",,https://www.imdb.com/news/ni65277508/?ref_=nwc_art_perm,No
Sports Are Poised to Power Through an Uncertain Upfront Market,,https://www.sportico.com/business/media/2025/upfront-market-advertising-sports-1234851946/,No
"Who is Foreign Secretary Vikram Misri? From career in advertising to top Indian diplomat — All about his life, education",,https://www.livemint.com/news/india/who-is-foreign-secretary-vikram-misri-career-advertising-top-indian-diplomat-pakistan-all-about-his-life-education-11747023071482.html,No
PayPal to get a new feature? What we know about changes coming to platform,,https://www.hindustantimes.com/world-news/us-news/paypal-to-get-a-new-feature-what-we-know-about-changes-coming-to-platform-101747018315742.html,Yes
Brandbeat Global Advertising & Communications Recognized as Best Global Agency for Market Expansion and Visibility in 2025 | FinancialContent,,https://markets.financialcontent.com/stocks/article/marketersmedia-2025-5-12-brandbeat-global-advertising-and-communications-recognized-as-best-global-agency-for-market-expansion-and-visibility-in-2025,Yes
Final hours left to claim direct payment from $4.5m 'false advertising' settlement - all you need is receipt,,https://www.the-sun.com/money/14210695/claim-million-dollar-settlement/,No
Location-based Advertising Market on Course to Reach US$ 283.28 Bn by 2031 - Persistence Market Research,,https://www.openpr.com/news/4009130/location-based-advertising-market-on-course-to-reach-us-283-28,Yes
Medicines and advertising regulators examine Ozempic maker's Irish ads,,https://www.msn.com/en-ie/health/other/medicines-and-advertising-regulators-examine-ozempic-maker-s-irish-ads/ar-AA1Ext2R,No
Children and junk food: 5 minutes of advertising is enough to increase calories on the plate,,https://evidencenetwork.ca/children-and-junk-food-5-minutes-of-advertising-is-enough-to-increase-calories-on-the-plate/,No
"CTV’s growing pains: Big spend, bigger blind spots",,https://www.campaignindia.in/article/ctvs-growing-pains-big-spend-bigger-blind-spots/502396,Yes
"I clicked on all scammy ads I saw, and it's maddening how sneaky they can get",,https://www.androidpolice.com/i-clicked-on-scam-ads/,No
Whenever I see school advertising phrases such as 'the cumulative number one instructor' and 'the h..,,https://www.mk.co.kr/en/society/11313910,No
DStv provides advertisers with insights on optimising media investments for greater value,,https://businessday.ng/brands-advertising/article/dstv-provides-advertisers-with-insights-on-optimising-media-investments-for-greater-value/,Yes
"Exclusive | Megabucks ad campaign launched urging NYC, NJ Jews to cast primary ballots",,https://nypost.com/2025/05/11/us-news/megabucks-ad-campaign-launched-urging-nyc-nj-jews-to-cast-primary-ballots/,No
Less than 2 weeks to enter Campaign Brief’s The Work 2025: Free to enter – Deadline May 20th,,https://campaignbriefasia.com/2025/05/12/less-than-2-weeks-to-enter-campaign-briefs-the-work-2025-free-to-enter-deadline-may-20th/,Yes
1880 celebrates expansion to HK with brand campaign and tram wrap,,https://www.marketing-interactive.com/1880-celebrates-expansion-to-hk-with-brand-campaign-and-tram-wrap,Yes
Mubashir partners with Al Mouj Muscat to expand outdoor ad opportunities,,https://campaignme.com/mubashir-partners-with-al-mouj-muscat-to-expand-outdoor-ad-opportunities/,No
"CTV’s growing pains: Big spend, bigger blind spots",,https://www.campaignindia.in/article/ctvs-growing-pains-big-spend-bigger-blind-spots/502396,Yes
Sales up 362%: The EV media campaign that cut through,,https://www.adnews.com.au/news/sales-up-362-the-ev-media-campaign-that-cut-through,Yes
Campaign Best Places to Work 2019-25: the ever-present agencies,,http://www.marketingmagazine.co.uk/article/campaign-best-places-work-2019-25-ever-present-agencies/1917392,Yes
"Becoming the Role Model You Never Had, with Christine Smith",,https://www.creativeboom.com/podcast/christine-smith/,No
Creative Writers: Pittsfield Township Community Center,,https://annarborobserver.com/mc-events/creative-writers-pittsfield-township-community-center-15/?mc_id=48116,No
"‘Revive’: A passionate, creative take on Art2Wear",,https://www.technicianonline.com/culture/revive-a-passionate-creative-take-on-art2wear/article_cfa1368f-1d8c-4065-a336-63366648aed7.html,No
15 brilliant resources to support your mental health at work,,https://www.creativeboom.com/resources/15-brilliant-resources-to-support-your-mental-health-at-work/,No
Rockford business celebrates Mother’s Day with creativity,,https://www.wifr.com/2025/05/12/rockford-business-celebrates-mothers-day-with-creativity/,No
Creative Discovery Museum celebrates 30th anniversary,,https://www.timesfreepress.com/photos/galleries/2025/may/11/creative-discovery-museum-celebrates-30th-anniversary/,No
The Creative Blend: Coffee & Conversation with Tamika Jamison (2025-05-17),,https://westseattleblog.com/event/the-creative-blend-coffee-conversation-with-tamika-jamison/,No
Jacksonville Home and Garden Show wraps up with creative ideas for Mother’s Day,,https://www.news4jax.com/news/local/2025/05/11/jacksonville-home-and-garden-show-wraps-up-with-creative-ideas-for-mothers-day/,No
'A hub for Utah's greater creative community': Zion Canyon Mesa expands,,https://www.stgeorgeutah.com/news/a-hub-for-utahs-greater-creative-community-zion-canyon-mesa-expands/article_6b65e268-cf81-4661-93f7-9b2c57d54d10.html,No
